GO	cluster	Description	NES_sol_Mu	NES_grp_Mu	category_Mu	delta_NES_Mu	NES_sol_Me	NES_grp_Me	category_Me	delta_NES_Me
GO:0031667	6	response to nutrient levels	NA	NA	NA	NA	NA	1.81292284603017	group_specific	NA
GO:0006888	18	endoplasmic reticulum to Golgi vesicle-mediated transport	NA	NA	NA	NA	NA	1.72727398797732	group_specific	NA
GO:0006883	28	intracellular sodium ion homeostasis	NA	NA	NA	NA	NA	1.98552797481548	group_specific	NA
GO:0036376	18	sodium ion export across plasma membrane	NA	NA	NA	NA	NA	1.98552797481548	group_specific	NA
GO:1902476	18	chloride transmembrane transport	NA	NA	NA	NA	NA	-1.85888605752439	group_specific	NA
GO:0007017	3	microtubule-based process	NA	NA	NA	NA	NA	-1.39367816260306	group_specific	NA
GO:0016180	13	snRNA processing	NA	NA	NA	NA	NA	1.94312184135795	group_specific	NA
GO:0006805	7	xenobiotic metabolic process	NA	NA	NA	NA	NA	-1.92560441425261	group_specific	NA
GO:0009410	7	response to xenobiotic stimulus	NA	NA	NA	NA	NA	-1.92560441425261	group_specific	NA
GO:0072676	9	lymphocyte migration	NA	NA	NA	NA	NA	1.87271439478313	group_specific	NA
GO:1902600	18	proton transmembrane transport	NA	NA	NA	NA	NA	1.83628144794066	group_specific	NA
GO:0070098	7	chemokine-mediated signaling pathway	NA	NA	NA	NA	NA	1.96817504416326	group_specific	NA
GO:1990868	7	response to chemokine	NA	NA	NA	NA	NA	1.96817504416326	group_specific	NA
GO:0070555	7	response to interleukin-1	NA	NA	NA	NA	NA	1.93394230625903	group_specific	NA
GO:0035194	29	regulatory ncRNA-mediated post-transcriptional gene silencing	NA	NA	NA	NA	NA	-1.90145934217538	group_specific	NA
GO:0072524	13	pyridine-containing compound metabolic process	NA	NA	NA	NA	NA	1.68831530878216	group_specific	NA
GO:0050776	4	regulation of immune response	NA	NA	NA	NA	NA	1.59629774583794	group_specific	NA
GO:0022402	3	cell cycle process	NA	NA	NA	NA	NA	-1.37629354665068	group_specific	NA
GO:0097352	30	autophagosome maturation	NA	NA	NA	NA	NA	-1.91909109352921	group_specific	NA
